,Unnamed: 0,season,opening_date,name,theatre,type,all_nominations,all_Wins,tony_best_musical_nom,tony_best_musical_winner,tony_best_revival_musical_nom,tony_best_revival_musical_winner,tony_best_play_nom,tony_best_play_winner,tony_best_revival_play_nom,tony_best_revival_play_winner,performances,previews,play,musical,revival,year
1017,1017,2009,2010-04-28,Collected Stories,Samuel J. Friedman Theatre,Original,2,0,0,0,0,0,0,0,0,0,54,22,1,0,0,2010
1018,1018,2009,2010-04-29,Everyday Rapture,American Airlines Theatre,Musical Original,7,0,0,0,0,0,0,0,0,0,85,11,0,1,0,2010
1019,1019,2010,2010-06-14,Brigadoon,Sam S. Shubert Theatre,Revival,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2010
1020,1020,2010,2010-07-15,"Harry Connick, Jr. in Concert on Broadway",Neil Simon Theatre,Original,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,2010
1021,1021,2010,2010-09-28,Brief Encounter,Studio 54,Original,6,1,0,0,0,0,0,0,0,0,119,21,1,0,0,2010
1022,1022,2010,2010-09-30,The Pitmen Painters,Samuel J. Friedman Theatre,Original,0,0,0,0,0,0,0,0,0,0,86,18,1,0,0,2010
1023,1023,2010,2010-10-03,Mrs. Warren's Profession,American Airlines Theatre,Comedy Revival,0,0,0,0,0,0,0,0,0,0,65,35,1,0,1,2010
1024,1024,2010,2010-10-12,A Life in the Theatre,Gerald Schoenfeld Theatre,Original,0,0,0,0,0,0,0,0,0,0,56,24,1,0,0,2010
1025,1025,2010,2010-10-13,Bloody Bloody Andrew Jackson,Bernard B. Jacobs Theatre,Musical Original,3,0,0,0,0,0,0,0,0,0,94,26,0,1,0,2010
1026,1026,2010,2010-10-14,La Bête,Music Box Theatre,Revival,3,0,0,0,0,0,0,0,0,0,101,23,1,0,1,2010
1027,1027,2010,2010-10-18,The Normal Heart,Walter Kerr Theatre,Original,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2010
1028,1028,2010,2010-10-21,Lombardi,Circle in the Square Theatre,Play Original,4,0,0,0,0,0,0,0,0,0,244,30,1,0,0,2010
1029,1029,2010,2010-10-25,Driving Miss Daisy,John Golden Theatre,Original,1,0,0,0,0,0,0,0,0,0,180,20,1,0,0,2010
1030,1030,2010,2010-10-26,Rain: A Tribute to the Beatles,Neil Simon Theatre,Original,1,1,0,0,0,0,0,0,0,0,300,8,1,0,0,2010
1031,1031,2010,2010-10-31,The Scottsboro Boys,Lyceum Theatre,Original,15,1,1,0,0,0,0,0,0,0,49,29,1,0,0,2010
1032,1032,2010,2010-11-04,Women on the Verge of a Nervous Breakdown,Belasco Theatre,Musical Original,13,2,0,0,0,0,0,0,0,0,69,30,0,1,0,2010
1033,1033,2010,2010-11-09,Colin Quinn: Long Story Short,Helen Hayes Theatre,Original,1,0,0,0,0,0,0,0,0,0,135,21,1,0,0,2010
1034,1034,2010,2010-11-11,The Pee-wee Herman Show,Stephen Sondheim Theatre,Original,0,0,0,0,0,0,0,0,0,0,62,18,1,0,0,2010
1035,1035,2010,2010-11-13,The Merchant of Venice,Broadhurst Theatre,Revival,18,1,0,0,0,0,0,0,1,0,73,26,1,0,1,2010
